171	168	156
181	7	6
19	6	7
121	120	108
121	133	120
137	138	150
20	8	21
108	109	121
108	96	109
153	154	166
7	8	20
8	7	181
24	12	25
93	80	81
80	93	92
54	55	67
42	55	54
8	9	21
9	8	182
143	130	131
16	3	4
4	3	179
127	128	140
141	140	128
75	88	87
88	100	87
111	123	110
124	123	111
81	80	68
184	11	183
32	31	19
82	70	83
95	82	83
67	66	54
66	53	54
86	87	99
100	99	87
163	176	175
128	115	116
116	115	103
20	19	7
123	136	135
148	135	136
154	155	167
154	142	155
32	44	31
50	37	38
37	50	49
116	129	128
128	129	141
181	6	180
145	146	158
146	145	133
50	38	51
177	171	172
185	178	1
13	38	25
73	60	61
73	61	74
23	35	22
22	10	23
34	35	47
34	22	35
183	182	186
153	141	154
156	168	143
36	37	49
151	152	164
152	151	139
76	77	89
77	76	64
11	23	10
17	18	30
5	18	17
86	98	85
85	73	86
115	114	102
154	167	166
52	64	39
22	34	21
21	9	22
35	36	48
36	35	23
163	150	151
123	122	110
123	135	122
23	11	24
51	63	50
17	4	5
109	110	122
109	97	110
183	9	182
144	132	145
107	106	94
130	142	117
132	119	120
132	120	133
19	18	6
31	18	19
70	58	71
71	83	70
32	19	20
78	65	66
65	90	77
90	65	78
79	66	67
42	54	41
41	29	42
156	143	144
180	6	5
38	13	26
61	49	62
69	81	68
68	56	69
142	141	129
34	46	33
46	34	47
30	42	29
29	17	30
186	181	180
181	186	182
170	169	166
18	5	6
16	4	17
16	17	29
8	181	182
180	5	179
4	179	5
37	36	24
31	43	30
30	43	42
44	43	31
56	43	44
55	42	43
80	67	68
68	67	55
131	119	132
106	93	94
55	43	56
56	68	55
31	30	18
47	59	46
85	98	97
97	98	110
59	58	46
82	81	69
178	2	1
63	75	62
108	120	107
107	95	108
174	175	177
78	91	103
103	91	116
20	33	32
21	33	20
118	119	131
13	14	26
1	0	185
0	1	13
52	40	53
52	53	65
178	185	186
13	1	14
0	184	185
58	57	45
57	58	70
34	33	21
85	84	72
33	45	32
45	33	46
58	45	46
84	71	72
72	71	59
93	105	92
93	81	94
25	0	13
47	35	48
125	112	113
113	112	100
105	93	106
105	106	118
102	114	101
102	101	89
155	143	168
143	155	130
44	32	45
70	69	57
96	97	109
96	84	97
74	86	73
27	15	28
28	40	27
60	48	61
48	49	61
56	57	69
58	59	71
69	70	82
148	160	147
148	147	135
144	145	157
56	44	57
57	44	45
120	119	107
76	63	64
75	63	76
63	51	64
79	91	78
78	66	79
152	165	164
157	145	158
95	94	82
83	71	84
96	83	84
28	16	29
172	157	158
134	147	146
159	146	147
122	121	109
24	36	23
164	169	176
59	60	72
47	60	59
159	158	146
151	150	138
135	147	134
95	83	96
96	108	95
37	25	38
156	144	157
136	149	148
173	172	158
134	133	121
121	122	134
95	107	94
148	161	160
161	174	160
163	162	150
173	158	159
145	132	133
138	137	125
161	175	174
146	133	134
154	141	142
174	173	159
166	169	165
153	166	165
119	106	107
165	169	164
151	164	163
144	131	132
82	94	81
131	130	118
117	118	130
106	119	118
143	131	144
79	92	91
92	104	91
41	53	40
0	12	184
12	0	25
139	126	127
127	126	114
89	90	102
159	160	174
160	159	147
150	149	137
162	149	150
92	105	104
117	104	105
155	142	130
170	167	168
167	155	168
153	140	141
117	105	118
92	79	80
80	79	67
104	117	129
129	117	142
140	153	152
165	152	153
64	52	77
166	167	170
172	156	157
26	27	39
14	27	26
136	123	124
168	171	170
171	156	172
127	114	115
134	122	135
163	164	176
124	137	136
137	149	136
174	177	173
161	148	149
126	138	125
139	138	126
126	113	114
114	113	101
126	125	113
163	175	162
91	104	116
177	172	173
104	129	116
78	103	90
128	127	115
184	183	186
102	90	103
102	103	115
180	179	186
112	124	111
125	124	112
151	138	139
100	112	99
127	140	139
140	152	139
124	125	137
175	176	177
176	169	177
177	169	170
170	171	177
162	175	161
149	162	161
110	98	111
99	112	111
48	36	49
27	14	15
113	100	101
74	61	62
73	85	72
72	60	73
86	99	98
99	111	98
74	75	87
75	74	62
100	88	101
178	179	3
178	186	179
85	97	84
87	86	74
76	88	75
65	77	52
50	63	62
15	14	2
10	22	9
15	2	3
62	49	50
24	25	37
11	10	183
48	60	47
10	9	183
11	12	24
11	184	12
51	38	26
15	16	28
77	90	89
65	53	66
39	27	40
52	39	40
3	2	178
88	89	101
76	89	88
54	53	41
185	184	186
16	15	3
51	26	39
14	1	2
28	41	40
29	41	28
39	64	51
